medicine_id,drug_id,amount,unit
596,520,40,mg
597,521,10,mg
598,522,600,mg
599,523,0.05,mg
599,524,0.25,mg
600,525,40,mg
601,525,80,mg
602,351,6,mcg
602,364,250,mcg
603,526,20,mg
603,527,50,mg
604,528,100,mg
604,382,500,mcg
605,529,300,mg
606,226,500,mg
606,29,1,mg
607,530,2.6,mg
608,531,5000,iu
609,532,12.5,mg
610,533,100,mg
611,534,10,mg
612,535,400,mg
613,536,25,mg
614,94,100,iu
616,537,20,mg
617,538,10,mg
618,539,2,%w/w
619,540,100,mg
620,541,20,mg
621,542,10,mg
622,543,2.5,mg
623,544,3.75,mg
624,545,1,g
625,546,500,mg
626,547,50,mcg
627,306,25,mg
628,548,2,%w/v
629,549,450,mg
630,550,1,mg
631,550,2,mg
633,551,10,mg
634,256,50,mg
634,2,125,mg
634,118,5,ml
635,552,250,mg
636,553,10,mg
637,554,850,mg
638,410,2,%w/w
638,555,0.01,%w/w
639,556,15,mg
640,557,500,mg
641,558,100,mg
642,559,5,mg
642,185,12.5,mg
643,262,2.5,mg
644,560,0.1,%w/v
645,561,10,mg
646,562,100,mg
647,563,10,mg
648,563,5,mg
649,273,20,mg
650,135,2/5,mg/ml
651,564,50,mg
652,565,100,mg
653,566,37.5,mg
654,567,5,%w/w
655,568,30,mg
656,569,1/0.5,mg/ml
657,98,15,mg
658,570,500/5,mg/ml
659,570,400,mg
660,161,25/1,mg/ml
661,275,10,mg
662,571,1000,mg
663,572,200,mg
664,573,100,mg
665,574,4000,iu
666,574,2000,iu
667,575,4,mg
667,576,2,mg
668,577,4,mg
669,258,5,mg
670,578,50,mg
671,578,100,mg
672,578,25,mg
673,579,200,mg
674,580,300,mg
675,581,400,mg
676,308,1,g
676,582,10,mg
676,118,10,ml
677,583,0.4,mg
678,191,40,mg
678,281,25,mg
679,191,80,mg
679,185,12.5,mg
680,584,20,mg
681,585,300,mg
682,586,2,mg
683,587,2,mg
684,588,35,mg
685,589,4,mg
